word,count
'every',205
'split',204
'cross',203
'camera',203
'ontario',203
'slightly',202
'course',201
'yellowish',200
'erratically',199
'twice',199
'nothing',198
'position',196
'water',196
'square',195
'has',195
'encounter',194
'well',194
'teardrop',194
'short',193
'june',193
'mins',193
'reports',193
'mt',192
'others',192
'chased',192
'25',192
'erratic',192
'year',191
'rapid',190
'quick',190
'location',190
'gliding',189
'maybe',189
'ive',189
'planet',189
'football',188
'santa',188
'neon',187
'less',186
'canada',185
'va',185
'sped',185
'believe',185
'strobe',185
'fiery',185
'movements',185
'missouri',185
'dull',184
'midnight',184
'uk',184
'flame',183
'interstate',183
'las',183
'points',182
'vehicle',181
'vanishes',180
'york',180
'sudden',180
'windows',180
'o',180
'afternoon',179
'burning',179
'travel',179
'pictures',178
'mo',178
'rural',178
'la',177
'suspect',177
'flat',176
'horizontally',176
'descending',176
'couple',176
'now',175
'luminous',175
'2012',175
'greenish',175
'golden',175
'comet',175
'illinois',175
'live',174
'cylindrical',174
'closer',173
'dont',173
'march',172
'hills',171
'neighborhood',171
'brother',170
'vegas',170
'landing',169
'giant',169
'wing',169
'humming',168
'backyard',168
'local',168
'streaks',168
'14',167
'began',167
'picture',167
'nights',166
'range',166
'chicago',166
'bluegreen',166
'ago',165
'thin',165
'dusk',165
'freeway',165
'200',165
'downward',165
'fell',165
'parallel',164
'falls',164
'forming',164
'cone',164
'diego',163
'woods',163
'disapeared',162
'entire',162
'real',162
'forth',162
'porch',162
'school',161
'his',161
'her',161
'quiet',160
'upward',160
'lines',160
'she',160
'13',160
'shoots',159
'mph',159
'patterns',159
'ten',158
'yelloworange',158
'beams',158
'sized',158
'show',158
'rd',158
'crossing',156
'amazing',156
'facing',156
'sunset',155
'station',155
'binoculars',155
'sounds',155
'take',155
'dimmed',155
'seven',154
'mid',154
'vertically',154
'unexplained',153
'bigger',153
'wide',153
'body',153
'desert',153
'im',152
'stops',152
'ga',152
'stopping',152
'transparent',152
'sc',151
'2010',151
'became',151
'chasing',151
'kind',150
'contrail',150
'metalic',150
'lot',150
'satellites',150
'police',150
'april',149
'yards',148
'crossed',147
'young',147
'formed',147
'probably',146
'eyes',146
'11',146
'23',146
'england',145
'bluish',145
'rising',144
'dropped',144
'fort',144
'called',144
'balloon',144
'doing',144
'tn',144
'getting',143
'accross',143
'vshaped',143
'girlfriend',143
'indiana',143
'photos',143
'underneath',142
'constant',142
'1000',142
'who',142
'route',141
'truck',141
'jupiter',141
'flare',141
'building',141
'floated',140
'triangles',140
'vanishing',140
'quite',139
'super',139
'commercial',139
'perfectly',139
'hot',139
'pace',139
'diameter',139
'student',138
'massive',138
'streaked',138
'lower',138
'think',137
'edge',137
'normal',137
'room',136
'alien',136
'duration',136
'clearly',136
'emitted',136
'trailing',136
'flaming',135
'distant',135
'fade',135
'60',134
'storm',134
'pink',134
'fall',133
'sure',133
'sparks',133
'2013',133
'taken',133
'part',133
'october',132
'series',132
'good',132
'2007',132
'silvery',131
'their',131
'shoot',131
'ring',131
'sharp',131
'length',130
'strobing',130
'separate',130
'2011',129
'said',129
'virginia',129
'shuttle',128
'sea',128
'wi',128
'lighting',128
'most',128
'300',128
'tv',128
'l',127
'corners',127
'portland',127
'things',127
'springs',127
'period',126
'34',126
'dropping',126
'deck',126
'haze',125
'traffic',125
'mysterious',125
'sat',125
'tops',125
'bed',125
'seem',125
'bedroom',125
'force',125
'2000',125
'brightness',125
'bizarre',124
'site',124
'photo',124
'once',123
'rose',123
'cigarshaped',123
'darting',123
'mn',122
'upwards',122
'2008',122
'random',122
'ma',122
'metal',121
'lite',121
'ct',121
'set',121
'carolina',121
'fighter',121
'purple',121
'here',121
'sunday',121
'against',120
'eve',120
'playing',120
'landed',120
'approached',120
'nowhere',120
'land',120
'having',120
'orangish',119
'spaced',119
'hanging',118
'georgia',118
'watch',118
'reflective',118
'wind',118
'gulf',118
'helicopters',118
'door',118
'lightning',118
'even',117
'tonight',117
'sister',116
'translucent',116
'wasnt',116
'cloudy',116
'jersey',116
'16',116
'mass',116
'2nd',116
'bluewhite',115
'houston',115
'makes',115
'reddishorange',115
'2009',115
'kansas',115
'foot',115
'instantly',115
'disks',114
'vapor',114
'country',114
'afb',114
'de',114
'speeding',114
'september',114
'told',113
'talking',113
'looks',113
'arc',113
'iowa',112
'eight',112
'aprox',112
'phone',112
'colour',112
'november',112
'extreme',111
'kept',111
'deg',111
'notice',111
'redish',110
'reappeared',110
'observation',110
'observing',110
'total',110
'u',110
'denver',110
'non',110
'days',109
'source',109
'orangeyellow',109
'travelled',109
'sort',109
'trails',108
'fades',108
'dome',108
'distinct',108
'cover',108
'vanish',107
'repts',107
'2004',107
'tiny',107
'sets',107
'third',107
'pilot',107
'parking',107
'opposite',107
'seperate',107
'how',107
'zigzag',107
'string',107
'nearby',106
'sunny',106
'bridge',106
'will',106
'f',106
'treeline',106
'various',106
'rear',106
'travels',106
'walked',105
'lost',105
'soundless',105
'dissappeared',105
'walk',105
'ky',105
'whole',105
'oklahoma',105
'rocket',105
'covered',104
'blinked',104
'roof',104
'zoomed',104
'cigarette',104
'neighbors',103
'camping',103
'wisconsin',103
'figure',103
'numerous',103
'drive',103
'utah',103
'maine',103
'december',103
'c',102
'tell',102
'waiting',102
'lasting',102
'apartment',102
'either',102
'exit',102
'rock',102
'shower',102
'm',102
'ships',101
'surrounded',101
'approaching',101
'35',101
'father',100
'colorful',100
'engine',99
'multi',99
'flames',99
'flys',99
'telescope',99
'2005',99
'drop',99
'3rd',98
'couldnt',98
'zigzagging',98
'sides',98
'dipper',98
'stood',97
'christmas',97
'advertising',97
'atlantic',97
'i5',97
'nevada',96
'zag',96
'higher',96
'pale',96
'reappearing',96
'radio',96
'thru',96
'farm',96
'height',96
'life',96
'elongated',95
'friday',95
'airliner',95
'oblong',95
'francisco',95
'18',95
'bound',95
'ascending',95
'pacific',95
'trajectory',94
'b',94
'woke',94
'follow',94
'forest',94
'discs',94
'port',94
'pointed',93
'unison',93
'week',93
'est',93
'hazy',93
'dogs',93
'january',93
'blink',93
'accelerated',93
'rt',93
'beautiful',93
'main',93
'fishing',93
'saturday',93
'remained',93
'attention',93
'mars',92
'el',92
'experience',92
'cant',92
'say',91
'apparent',91
'edges',91
'aura',91
'descended',91
'tucson',91
'oh',90
'sacramento',90
'explosion',90
'fairly',90
'london',90
'running',90
'australia',89
'impossible',89
'airplanes',89
'international',89
'captured',89
'exact',89
'miami',89
'news',88
'rounded',88
'peculiar',88
'display',88
'ok',88
'eclipse',88
'flares',87
'deep',87
'reflecting',87
'blimp',87
'md',87
'columbia',87
'oct',86
'ridge',86
'erie',86
'intensity',86
'totally',86
'since',86
'150',85
'pulled',85
'globe',85
'forward',85
'angles',85
'passes',85
'else',85
'1st',84
'brite',84
'nm',84
'nh',84
'17',84
'hit',84
'austin',84
'arms',84
'remember',84
'firey',84
'maneuvers',83
'store',83
'seemingly',83
'though',83
'crescent',83
'brown',83
'enormous',83
'groups',82
'weather',82
'appearance',82
'unlike',82
'2006',82
'siting',82
'your',82
'slowing',82
'surrounding',82
'alabama',81
'houses',81
'goes',81
'noiseless',81
'eventually',81
'darted',81
'stealth',81
'slight',81
'national',81
'kentucky',81
'ones',81
'saucers',81
'abruptly',81
'passenger',80
'drifting',80
'exactly',80
'56',80
'1015',80
'blueish',80
'except',80
'onto',80
'2001',80
'heads',80
'adults',80
'sept',79
'plant',79
'myrtle',79
'iridium',79
'arkansas',79
'boom',79
'globes',79
'connected',79
'photographed',78
'24',78
'shimmering',78
'ran',78
'working',78
'ahead',78
'hundred',78
'crash',78
'staying',78
'children',78
'smoking',78
'observe',78
'skys',78
'balcony',78
'known',77
'outer',77
'crosses',77
'sequence',77
'briefly',77
'steadily',77
'75',77
'probable',77
'hi',77
'found',77
'usa',76
'illuminating',76
'creek',76
'slowed',76
'shore',76
'hoovering',76
'itself',76
'lowflying',76
'investigators',76
'manner',76
'number',76
'information',76
'might',76
'someone',76
'returning',76
'cape',76
'bell',76
'always',75
'2002',75
'tower',75
'please',75
'dallas',75
'enough',75
'floor',74
'crazy',74
'felt',74
'contrails',74
'open',74
'nnw',74
'anyone',74
'driveway',74
'mom',74
'elevation',74
'abduction',74
'nearly',74
'irregular',74
'vancouver',73
'bird',73
'contact',73
'rows',73
'missing',73
'comes',73
'box',73
'nov',73
'drove',72
'canyon',72
'd',72
'southwestern',72
'invisible',72
'apparently',72
'brief',72
'break',72
'orlando',72
'roughly',72
'incredibly',72
'randomly',71
'idaho',71
'pretty',71
'velocity',71
'story',71
'call',71
'oclock',71
'evenly',71
'stoped',71
'attached',71
'shifting',70
'halo',70
'joined',70
'drops',70
'shadow',70
'grew',70
'reappear',70
'riding',70
'shapped',70
'tear',70
'blvd',69
'spotlight',69
'birds',69
'moveing',69
'li',69
'ave',69
'complete',69
'van',69
'yet',68
'2003',68
'h',68
'minnesota',68
'unexplainable',68
'glowed',68
'y',68
'lunar',68
'seems',68
'hard',68
'slower',68
'circled',68
'toronto',68
'rise',68
'fuzzy',67
'feb',67
'suspended',67
'leading',67
'university',67
'upon',67
'starting',67
'grand',67
'weeks',67
'pennsylvania',67
'burst',67
'dissapearing',67
'1520',67
'descend',66
'nne',66
'living',66
'dad',66
'sometimes',66
'entering',66
'able',66
'radar',66
'splits',66
'fixed',66
'bouncing',66
'rept',66
'19',65
'aliens',65
'underside',65
'sited',65
'rotated',65
'shortly',65
'does',65
'spring',65
'serious',65
'celestial',65
'chrome',65
'sparkling',65
'dissapears',64
'bus',64
'instant',64
'college',64
'start',64
'al',64
'dozen',64
'maryland',64
'coloured',64
'tip',64
'movie',63
'garden',63
'zagging',63
'vision',63
'blinding',63
'world',63
'entered',63
'till',63
'930',63
'salt',63
'fashion',63
'constellation',63
'digital',63
'southbound',63
'descends',63
'explain',63
'approach',62
'thousand',62
'officer',62
'filmed',62
'sse',62
'let',62
'floats',62
'ar',62
'louis',62
'1997',62
'debris',62
'men',62
'parents',62
'southeastern',62
'400',62
'kids',62
'unbelievable',61
'smooth',61
'fog',61
'albuquerque',61
'eastward',61
'major',61
'cloudless',61
'viewing',61
'decided',61
'follows',61
'delta',61
'activity',61
'1030',61
'laser',61
'per',61
'located',61
'moment',61
'fleet',60
'dimming',60
'treetops',60
'eachother',60
'nv',60
'broke',60
'golf',60
'atlanta',60
'skyline',60
'upper',60
'border',60
'nyc',59
'2030',59
'person',59
'continued',59
'montana',59
'alternating',59
'scary',59
'navy',59
'bc',59
'dec',59
'absolutely',59
'nine',59
'outline',59
'hotel',59
'dead',59
'columbus',59
'brightest',59
'month',58
'trip',58
'resembling',58
'boyfriend',58
'sonic',58
'ascended',58
'bend',58
'put',58
'surface',58
'double',58
'jose',58
'initially',58
'soft',58
'strong',58
'trying',57
'bar',57
'rather',57
'palm',57
'hear',57
'wv',57
'perhaps',57
'chase',57
'stepped',57
'headlights',57
'linear',57
'mesa',57
'antonio',57
'party',57
'objs',57
'tampa',57
'dinner',57
'meteorite',56
'slowmoving',56
'vicinity',56
'orbit',56
'aug',56
'overcast',56
'gazing',56
'game',56
'grove',56
'i10',56
'31',56
'alone',56
'80',56
'upside',56
'setting',56
'tall',56
'structure',56
'whitish',56
'maneuvering',56
'secs',56
'sideways',55
'identical',55
'electrical',55
'human',55
'tinley',55
'leaves',55
'scared',55
'boat',55
'tube',55
'drifted',55
'fourth',55
'earlier',55
'revolving',55
'complex',55
'glided',55
'knew',55
'sunrise',55
'check',54
'intervals',54
'locations',54
'naked',54
'footage',54
'ssw',54
'quietly',54
'months',54
'wierd',54
'mall',54
'film',54
'sleep',54
'dissapear',54
'thursday',53
'campus',53
'lots',53
'tight',53
'noon',53
'dc',53
'however',53
'description',53
'february',53
'incident',53
'camp',53
'highly',53
'float',53
'returned',53
'27',53
'occurred',52
'read',52
'tennessee',52
'satelite',52
'strobes',52
'pure',52
'pair',52
'want',52
'pinpoint',52
'stream',52
'him',52
'bit',52
'alt',52
'army',52
'pool',52
'70',51
'accelerating',51
'easterly',51
'regular',51
'alaska',51
'resembled',51
'noises',51
'dimly',51
'soon',51
'101',51
'manhattan',51
'face',51
'reflection',51
'spots',50
'68',50
'fastmoving',50
'must',50
'somewhat',50
'gradually',50
'swirling',50
'leave',50
'22',50
'electric',50
'pairs',50
'parked',50
'energy',50
'mount',50
'harbor',50
'strangely',50
'tape',50
'witnessing',50
're',50
'westward',50
'clockwise',50
'mostly',50
'winter',50
'residential',50
'events',50
'stay',50
'northbound',49
'tuesday',49
'exploded',49
'self',49
'zipped',49
'alot',49
'orion',49
'breaking',49
'plus',49
'neighbor',49
'hundreds',49
'cometlike',49
'boston',49
'unusually',49
'28',49
'ks',49
'5th',49
'mine',49
'reno',49
'saucershaped',48
'matter',48
'yellowishorange',48
'arrow',48
'showed',48
'cold',48
'planets',48
'static',48
'ends',48
'21',48
'nuclear',48
'using',48
'2200',48
'800',48
'performing',48
'cars',48
'9pm',48
'heights',48
'spacecraft',48
'actually',48
'relatively',48
'lived',47
'fields',47
'beneath',47
'cloaked',47
'brooklyn',47
'cannot',47
'1100',47
'r',47
'1978',47
'patio',47
'10pm',47
'buzzing',47
'finally',47
'diskshaped',47
'hunting',47
'810',47
'accompanied',47
'rainbow',46
'830',46
'conventional',46
'hung',46
'dimmer',46
'charlotte',46
'best',46
'mississippi',46
'comming',46
'lites',46
'observer',46
'pitch',46
'pyramid',46
'puget',46
'westerly',46
'aircrafts',46
'laying',46
'pinkish',46
'lying',46
'morphing',46
'spokane',46
'thats',46
'louisiana',46
'dime',45
'nor',45
'flickered',45
'nighttime',45
'separated',45
'sign',45
'kite',45
'why',45
'usaf',45
'dramatic',45
'image',45
'medium',45
'dawn',45
'search',45
'occasions',45
'intersection',45
'perimeter',45
'1130',45
'gigantic',45
'accelerates',45
'crystal',45
'immediately',45
'p',44
'glass',44
'twenty',44
'own',44
'swiftly',44
'redwhite',44
'appx',44
'closely',44
'firework',44
'girl',44
'mufon',44
'pittsburgh',44
'510',44
'smoothly',44
'2300',44
'controlled',44
'id',44
'sounded',44
'covering',44
'cell',44
'hudson',44
'cruise',44
'ms',44
'asked',44
'boy',43
'ligh',43
'definitely',43
'calls',43
'individual',43
'northwestern',43
'gave',43
'belt',43
'reporting',43
'nose',43
'thick',43
'reappears',43
'details',43
'extremly',43
'case',43
'simply',43
'apeared',43
'today',43
'such',43
'held',43
'gets',43
'730',43
'cruising',43
'aurora',43
'1012',43
'ovalshaped',43
'takes',43
'diagonal',43
'midair',42
'ovals',42
'treetop',42
'bluishwhite',42
'heavy',42
'silence',42
'northeastern',42
'proximity',42
'luminescent',42
'philadelphia',42
'whiteyellow',42
'trace',42
'sleeping',42
'disapearing',42
'26',42
'discshaped',42
'strip',42
'explanation',42
'exhaust',42
'greenblue',42
'darkness',42
'control',42
'orbiting',42
'hawaii',42
'sunlight',42
'yellowwhite',42
'warm',42
'varying',42
'further',41
'effect',41
'springfield',41
'realized',41
'900',41
'proceeded',41
'mind',41
'decending',41
'stargazing',41
'rings',41
'usual',41
'triangleshaped',41
'nightly',41
'true',41
'burbank',41
'shift',41
'tumbling',41
'becomes',41
'paper',41
'track',41
'shined',41
'1999',41
'67',41
'those',41
'dims',41
'abrupt',41
'outlined',41
'computer',41
'jan',41
'colours',41
'rumbling',40
'hospital',40
'worth',40
'intensely',40
'disapears',40
'paso',40
'zooming',40
'tails',40
'bank',40
'i75',40
'monica',40
'balloons',40
'fresno',40
'train',40
'hand',40
'massachusetts',40
'zigzagged',40
'cousin',40
'previous',40
'oddly',40
'lands',40
'meteors',40
'thunderstorm',40
'vacation',40
'child',39
'curved',39
'nite',39
'crashing',39
'filled',39
'run',39
'connecticut',39
'foothills',39
'equal',39
'nashville',39
'en',39
'29',39
'twin',39
'busy',39
'nebraska',39
'section',39
'hum',39
'often',39
'1975',39
'stationery',39
'former',39
'plasma',39
'richmond',39
'airforce',39
'1998',39
'metro',39
'taped',39
'pieces',39
'kitchen',39
